Player,weighted_pred,scaled_pred
Robert Sánchez,79.22981761225982,0.32577922706859663
Marc Cucurella,79.64410000074484,0.4822247375942345
Joël Veltman,77.84621322011543,-0.1967114737456647
Leandro Trossard,80.29209960183701,0.7269289085438991
Lewis Dunk,79.6962655060788,0.5019240039416244
Neal Maupay,77.3956873864332,-0.36684360104451663
Yves Bissouma,79.99086902714052,0.613175168693508
Pascal Groß,80.06062531391487,0.6395172440510768
Alexis Mac Allister,77.97120117087599,-0.1495122581628004
Jakub Moder,75.40595170488265,-1.1182277369948388
Adam Lallana,78.7840444014397,0.1574418333395645
Solly March,74.90010021297596,-1.3092524995750137
Tariq Lamptey,74.91404037868196,-1.3039882730442578
