Player,Season_End_Year,Squad,Comp,Min,Pred,Pred_scaled,Nation,Pos,Age,overall,UrlFBref
Morgan Gibbs-White,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,71,NA
Hugo Bueno,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Ryan John Giles,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Bruno Jordão,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Christian Marques,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Yerson Mosquera,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Louie Moulden,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Dion Sanderson,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
James Storer,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Allan Saint-Maximin,2022,Newcastle Utd,Premier League,2804,78.48331755,0.059122712,FRA,"FW,MF",24,79,https://fbref.com/en/players/2b16cb1a/Allan-Saint-Maximin
Joelinton,2022,Newcastle Utd,Premier League,2558,77.13576226,-0.446406519,BRA,"MF,FW",24,74,https://fbref.com/en/players/c17bfb65/Joelinton
Martin Dúbravka,2022,Newcastle Utd,Premier League,2340,82.53492726,1.579065648,SVK,GK,32,81,https://fbref.com/en/players/3a949a25/Martin-Dubravka
Fabian Schär,2022,Newcastle Utd,Premier League,2158,75.00284335,-1.246561339,SUI,DF,29,76,https://fbref.com/en/players/c8aa95da/Fabian-Schar
Joe Willock,2022,Newcastle Utd,Premier League,2038,74.89917962,-1.285450313,ENG,MF,21,75,https://fbref.com/en/players/a3b03921/Joe-Willock
Jamaal Lascelles,2022,Newcastle Utd,Premier League,2058,74.33999633,-1.49522538,ENG,DF,27,77,https://fbref.com/en/players/450ab6fc/Jamaal-Lascelles
Jonjo Shelvey,2022,Newcastle Utd,Premier League,1983,73.41970409,-1.840468825,ENG,MF,29,75,https://fbref.com/en/players/3727dd3c/Jonjo-Shelvey
Miguel Almirón,2022,Newcastle Utd,Premier League,1716,72.20166128,-2.29741204,PAR,"MF,FW",27,77,https://fbref.com/en/players/862a1c15/Miguel-Almiron
Emil Krafth,2022,Newcastle Utd,Premier League,1634,73.56771095,-1.784944723,SWE,DF,26,73,https://fbref.com/en/players/77cf6852/Emil-Krafth
Ryan Fraser,2022,Newcastle Utd,Premier League,1465,74.76766448,-1.334787621,SCO,"FW,MF",27,75,https://fbref.com/en/players/d56543a0/Ryan-Fraser
Matt Targett,2022,Aston Villa,Premier League,1431,76.30552762,-0.757865265,ENG,DF,25,77,https://fbref.com/en/players/e514ab62/Matt-Targett
Matt Targett,2022,Newcastle Utd,Premier League,1440,74.6373894,-1.383659724,ENG,DF,25,77,https://fbref.com/en/players/e514ab62/Matt-Targett
Callum Wilson,2022,Newcastle Utd,Premier League,1386,73.18408518,-1.928860187,ENG,FW,29,79,https://fbref.com/en/players/c596fcb0/Callum-Wilson
Sean Longstaff,2022,Newcastle Utd,Premier League,1464,73.69382997,-1.737631749,ENG,MF,23,72,https://fbref.com/en/players/a2b105e0/Sean-Longstaff
Chris Wood,2022,Burnley,Premier League,1367,72.73166794,-2.098582455,NZL,FW,29,79,https://fbref.com/en/players/4e9a0555/Chris-Wood
Chris Wood,2022,Newcastle Utd,Premier League,1327,69.17196177,-3.433990018,NZL,FW,29,79,https://fbref.com/en/players/4e9a0555/Chris-Wood
Javier Manquillo,2022,Newcastle Utd,Premier League,1257,73.67635841,-1.744186126,ESP,DF,27,74,https://fbref.com/en/players/758dd7f0/Javier-Manquillo
Matt Ritchie,2022,Newcastle Utd,Premier League,1337,73.22108507,-1.914979846,SCO,DF,31,74,https://fbref.com/en/players/71ef519e/Matt-Ritchie
Jacob Murphy,2022,Newcastle Utd,Premier League,1473,72.34897438,-2.242148199,ENG,"FW,DF",26,72,https://fbref.com/en/players/de112b84/Jacob-Murphy
Ciaran Clark,2022,Newcastle Utd,Premier League,1014,75.19740347,-1.173572994,IRL,DF,31,75,https://fbref.com/en/players/2b91cf8e/Ciaran-Clark
Isaac Hayden,2022,Newcastle Utd,Premier League,1002,74.13973696,-1.57035177,ENG,"MF,DF",26,76,https://fbref.com/en/players/c951a6df/Isaac-Hayden
Bruno Guimarães,2022,Newcastle Utd,Premier League,1034,82.12212258,1.424203855,BRA,MF,23,79,https://fbref.com/en/players/82518f62/Bruno-Guimaraes
Karl Darlow,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,76,NA
Federico Fernández,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,75,NA
Kieran Trippier,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,84,NA
Freddie Woodman,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,74,NA
Jamal Lewis,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,73,NA
Paul Dummett,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,74,NA
Jeff Hendrick,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,74,NA
Dwight Gayle,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,73,NA
Elliot Anderson,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Lucas De Bolle,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Mark Gillespie,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Joe White,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Marc Guéhi,2022,Crystal Palace,Premier League,3222,81.11638989,1.046907814,ENG,DF,21,73,https://fbref.com/en/players/d0706b27/Marc-Guehi
Tyrick Mitchell,2022,Crystal Palace,Premier League,3101,75.36281246,-1.111520564,ENG,DF,21,71,https://fbref.com/en/players/5cbd1eb0/Tyrick-Mitchell
Conor Gallagher,2022,Crystal Palace,Premier League,2845,81.31151535,1.120108243,ENG,MF,21,74,https://fbref.com/en/players/c2731c10/Conor-Gallagher
Joachim Andersen,2022,Crystal Palace,Premier League,2916,79.99184424,0.625039632,DEN,DF,25,77,https://fbref.com/en/players/e34fc66d/Joachim-Andersen
Wilfried Zaha,2022,Crystal Palace,Premier League,2760,80.45472514,0.798687294,CIV,FW,28,82,https://fbref.com/en/players/b2bc3b1f/Wilfried-Zaha
Vicente Guaita,2022,Crystal Palace,Premier League,2655,82.42996019,1.539687732,ESP,GK,34,80,https://fbref.com/en/players/ab13a5aa/Vicente-Guaita
Joel Ward,2022,Crystal Palace,Premier League,2487,77.40479403,-0.345480475,ENG,DF,31,74,https://fbref.com/en/players/8a7ff278/Joel-Ward
Jordan Ayew,2022,Crystal Palace,Premier League,2019,77.44261586,-0.331291789,GHA,FW,29,75,https://fbref.com/en/players/da052c14/Jordan-Ayew
Cheikhou Kouyaté,2022,Crystal Palace,Premier League,1974,75.25787692,-1.150886655,SEN,MF,31,78,https://fbref.com/en/players/8d3c902d/Cheikhou-Kouyate
Jeffrey Schlupp,2022,Crystal Palace,Premier League,1851,76.92943156,-0.523810541,GHA,"MF,FW",28,75,https://fbref.com/en/players/3312f911/Jeffrey-Schlupp
Odsonne Édouard,2022,Crystal Palace,Premier League,1564,77.53341373,-0.297229381,FRA,FW,23,75,https://fbref.com/en/players/0562b7f1/Odsonne-Edouard
James McArthur,2022,Crystal Palace,Premier League,1439,77.39992384,-0.347307506,SCO,MF,33,75,https://fbref.com/en/players/cee31595/James-McArthur
Nathaniel Clyne,2022,Crystal Palace,Premier League,1351,73.79070938,-1.70128788,ENG,DF,30,75,https://fbref.com/en/players/0442183b/Nathaniel-Clyne
Jean-Philippe Mateta,2022,Crystal Palace,Premier League,1145,75.95943118,-0.887701767,FRA,FW,24,75,https://fbref.com/en/players/50e6dc35/Jean-Philippe-Mateta
Will Hughes,2022,Crystal Palace,Premier League,1053,76.30360813,-0.758585355,ENG,MF,26,76,https://fbref.com/en/players/a0666d3e/Will-Hughes
Michael Olise,2022,Crystal Palace,Premier League,1141,78.56966417,0.091515252,FRA,"FW,MF",19,73,https://fbref.com/en/players/c4486bac/Michael-Olise
Christian Benteke,2022,Crystal Palace,Premier League,1145,74.58919969,-1.401737874,BEL,FW,30,75,https://fbref.com/en/players/ab070c55/Christian-Benteke
Luka Milivojević,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,76,NA
Jack Butland,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,73,NA
Eberechi Eze,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,77,NA
James Tomkins,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,75,NA
