Player,Season_End_Year,Squad,Comp,Min,Pred,Pred_scaled
Matt Doherty,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Dele Alli,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Tanguy Ndombele,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Steven Bergwijn,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Giovani Lo Celso,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Bryan,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Joe Rodon,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Dane Scarlett,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Brandon Austin,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jamie Bowden,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Matthew Craig,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Alfie Devine,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Pierluigi Gollini,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Marcel Lavinier,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Dilan Markanday,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Tobi Omole,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Moussa Sissoko,2022,Watford,Premier League,3220,77.79322162869471,0.011411163269946388
Harvey White,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Bukayo Saka,2022,Arsenal,Premier League,2978,81.64337195124988,1.4519604309737646
Gabriel Dos Santos,2022,Arsenal,Premier League,3063,80.02712443464709,0.8472349056272426
Aaron Ramsdale,2022,Arsenal,Premier League,3060,78.85241124202251,0.4077112279454067
Ben White,2022,Arsenal,Premier League,2880,78.8548531676439,0.408624884262944
Martin Ødegaard,2022,Arsenal,Premier League,2785,80.88467850444835,1.1680922186603557
Granit Xhaka,2022,Arsenal,Premier League,2327,79.79838171929238,0.7616498963442464
Thomas Partey,2022,Arsenal,Premier League,2028,79.61044084239819,0.6913310594418315
Kieran Tierney,2022,Arsenal,Premier League,1915,76.21296948418608,-0.5798465484675371
Emile Smith Rowe,2022,Arsenal,Premier League,1921,77.40302245603668,-0.1345834305354506
Martinelli,2022,Arsenal,Premier League,1860,78.1551325618955,0.14682159821899188
Alexandre Lacazette,2022,Arsenal,Premier League,1782,76.97999131072042,-0.2928622392955239
Takehiro Tomiyasu,2022,Arsenal,Premier League,1679,75.5979784247365,-0.8099479331185498
Cédric Soares,2022,Arsenal,Premier League,1486,76.17488729782154,-0.5940951520502621
Nuno Tavares,2022,Arsenal,Premier League,1176,76.71216466555747,-0.393070658509924
Albert Sambi Lokonga,2022,Arsenal,Premier League,1134,75.92523290193066,-0.6875043509256398
Pierre-Emerick Aubameyang,2022,Arsenal,Premier League,1037,77.20337460127968,-0.20928248040994257
Rob Holding,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Eddie Nketiah,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Mohamed Elneny,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Nicolas Pépé,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Bernd Leno,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Ainsley Maitland-Niles,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Pablo Marí,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Calum Chambers,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Sead Kolašinac,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Folarin Balogun,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Reiss Nelson,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
