Date,Squad,Home_Away,Match_Half,Minute,Shooting_Player,Outcome,Distance,Body_Part,Shot_Notes,SCA1_Player,SCA1_Event,SCA2_Player,SCA2_Event
2021-11-20,Manchester Utd,Away,2,57,Cristiano Ronaldo,Saved,16,Right Foot,,Donny van de Beek,Pass (Live),Harry Maguire,Pass (Live)
2021-11-20,Manchester Utd,Away,2,68,Nemanja Matić,Off Target,21,Left Foot,,Donny van de Beek,Pass (Live),,
2021-11-20,Manchester Utd,Away,2,72,Cristiano Ronaldo,Off Target,17,Right Foot,Half volley,Donny van de Beek,Pass (Live),Jadon Sancho,Pass (Live)
2021-11-20,Manchester Utd,Away,2,76,Cristiano Ronaldo,Off Target,12,Head,,Jadon Sancho,Pass (Live),Jadon Sancho,Dribble
2021-11-20,Manchester Utd,Away,2,79,Bruno Fernandes,Off Target,20,Right Foot,,Cristiano Ronaldo,Pass (Live),Cristiano Ronaldo,Dribble
2021-11-20,Norwich City,Home,1,7,Teemu Pukki,Goal,7,Head,,Max Aarons,Pass (Live),Milot Rashica,Pass (Live)
2021-11-20,Norwich City,Home,2,53,Milot Rashica,Saved,20,Left Foot,,Mathias Normann,Pass (Live),Billy Gilmour,Pass (Live)
2021-11-20,Norwich City,Home,2,54,Josh Sargent,Blocked,16,Right Foot,,,,,
2021-11-20,Norwich City,Home,2,59,Ben Gibson,Off Target,6,Head,,Billy Gilmour,Pass (Dead),Mathias Normann,Pass (Live)
2021-11-20,Norwich City,Home,2,62,Kenny McLean,Blocked,25,Left Foot,,Kenny McLean,Interception,,
2021-11-20,Norwich City,Home,2,67,Mathias Normann,Off Target,31,Right Foot,,Kenny McLean,Pass (Live),Milot Rashica,Pass (Live)
2021-11-20,Norwich City,Home,2,76,Teemu Pukki,Saved,13,Right Foot,,Billy Gilmour,Pass (Live),Billy Gilmour,Dribble
2021-11-20,Norwich City,Home,2,79,Grant Hanley,Goal,5,Head,,Billy Gilmour,Pass (Dead),,
2021-11-20,Southampton,Away,1,4,Che Adams,Goal,12,Right Foot,,Adam Armstrong,Pass (Live),Oriol Romeu,Pass (Live)
2021-11-20,Southampton,Away,1,15,Mohamed Elyounoussi,Blocked,12,Left Foot,Volley,Adam Armstrong,Pass (Live),Kyle Walker-Peters,Pass (Live)
2021-11-20,Southampton,Away,1,15,James Ward-Prowse,Saved,19,Left Foot,,Mohamed Elyounoussi,Shot,,
2021-11-20,Southampton,Away,1,16,Kyle Walker-Peters,Blocked,20,Right Foot,,Kyle Walker-Peters,Dribble,Mohamed Elyounoussi,Pass (Live)
2021-11-20,Southampton,Away,1,20,Mohamed Elyounoussi,Off Target,19,Right Foot,,Che Adams,Pass (Live),Mohammed Salisu,Pass (Live)
