Date,Squad,Match_Half,Minute,Shooting_Player,Outcome,Distance,Body_Part,Shot_Notes,SCA1_Player,SCA1_Event,SCA2_Player,SCA2_Event,45+,Home_Away,order,xG
2022-01-02,Aston Villa,1,23,Ezri Konsa,Wayward,5,Head,,Douglas Luiz,Pass (Dead),Jacob Ramsey,Pass (Live),0,Away,187,0.12373151630163193
2022-01-02,Aston Villa,1,28,John McGinn,Off Target,27,Left Foot,,Danny Ings,Pass (Live),Bertrand Traoré,Pass (Live),0,Away,187,0.017468683421611786
2022-01-02,Brentford,1,29,Mathias Jensen,Off Target,14,Right Foot,Half volley,Christian Nørgaard,Pass (Live),,,0,Home,187,0.033580224961042404
2022-01-02,Aston Villa,1,31,Emi Buendía,Blocked,16,Right Foot,Half volley,,,,,0,Away,187,0.056147724390029914
2022-01-02,Brentford,1,33,Yoane Wissa,Wayward,8,Head,,Mathias Jensen,Pass (Live),Mads Bech Sørensen,Pass (Dead),0,Home,187,0.0223148874938488
2022-01-02,Brentford,1,42,Yoane Wissa,Goal,20,Left Foot,,Mads Roerslev,Pass (Live),Mathias Jensen,Pass (Live),0,Home,187,0.05749393254518509
2022-01-02,Brentford,1,47,Pontus Jansson,Off Target,11,Head,,Mathias Jensen,Pass (Dead),,,1,Home,187,0.015639638528227806
2022-01-02,Brentford,2,49,Mads Roerslev,Off Target,28,Right Foot,Half volley,,,,,0,Home,187,0.013148407451808451
2022-01-02,Aston Villa,2,53,Emi Buendía,Off Target,29,Right Foot,,Matt Targett,Pass (Live),Jacob Ramsey,Pass (Live),0,Away,187,0.013342429883778095
2022-01-02,Brentford,2,56,Ivan Toney,Off Target,10,Head,,Mads Bech Sørensen,Pass (Dead),,,0,Home,187,0.07387025654315947
2022-01-02,Aston Villa,2,61,Matt Targett,Saved,14,Left Foot,Volley,Douglas Luiz,Pass (Live),Bertrand Traoré,Pass (Live),0,Away,187,0.03815672174096108
2022-01-02,Aston Villa,2,63,Danny Ings,Blocked,19,Left Foot,,Emi Buendía,Pass (Live),Matt Targett,Pass (Live),0,Away,187,0.059781841933727264
2022-01-02,Aston Villa,2,63,Emi Buendía,Off Target,7,Head,,Matt Targett,Pass (Dead),Danny Ings,Shot,0,Away,187,0.02952382527291775
2022-01-02,Brentford,2,75,Frank Onyeka,Saved,20,Right Foot,,Ivan Toney,Pass (Live),Frank Onyeka,Pass (Live),0,Home,187,0.06335348635911943
2022-01-02,Aston Villa,2,82,Danny Ings,Saved,10,Head,,John McGinn,Pass (Dead),Matty Cash,Fouled,0,Away,187,0.0439937561750412
2022-01-02,Brentford,2,83,Mads Roerslev,Saved,12,Right Foot,,Shandon Baptiste,Pass (Live),Vitaly Janelt,Pass (Live),0,Home,187,0.0911705419421196
2022-01-02,Brentford,2,83,Mads Roerslev,Goal,7,Left Foot,Half volley,Mads Roerslev,Shot,,,0,Home,187,0.13030926883220673
2022-01-02,Aston Villa,2,85,Danny Ings,Saved,10,Right Foot,,John McGinn,Pass (Live),Douglas Luiz,Pass (Live),0,Away,187,0.3753446638584137
2022-01-02,Aston Villa,2,90,Trézéguet,Blocked,21,Right Foot,,Emi Buendía,Pass (Live),Morgan Sanson,Pass (Live),0,Away,187,0.050483472645282745
2022-01-02,Aston Villa,2,90,Emi Buendía,Blocked,21,Right Foot,,Danny Ings,Pass (Live),,,0,Away,187,0.03854386880993843
2022-01-02,Aston Villa,2,90,Matt Targett,Off Target,9,Head,,John McGinn,Pass (Live),Matty Cash,Pass (Live),0,Away,187,0.026376232504844662
2022-01-02,Aston Villa,2,92,Emi Buendía,Saved,11,Head,,,,,,0,Away,187,0.041195690631866455
